species,occurrences,AUC,J,cutoff
Tamiasciurus_hudsonicus,12710,0.9390508690815698,0.746498819826908,0.5320065757935746
Glaucomys_volans,1974,0.9448270782584952,0.7335359675785207,0.5792897160072537
Pekania_pennanti,2152,0.9835587799367063,0.8824349442379182,0.4989353366726791
Lasiurus_borealis,2378,0.9307619749582838,0.6938603868797308,0.4264127440570812
Euderma_maculatum,83,0.9741617070692408,0.8192771084337349,0.2846830499665377
Puma_concolor,2922,0.9592703116999084,0.7823408624229979,0.5536843417590984
Sorex_haydeni,455,0.9579954111822244,0.8,0.6371754048363498
Procyon_lotor,19565,0.9014668137537049,0.6182979810886788,0.508587862018397
Sorex_arcticus,311,0.9730358453696715,0.8713826366559485,0.5597367297839106
Alces_alces,6072,0.9211149614811112,0.6824769433465085,0.45124897941837644
Sciurus_niger,9223,0.9489631179935694,0.7365282446058767,0.4498883840784276
Ondatra_zibethicus,6879,0.946831246432186,0.73222852158744,0.554472657464642
Dicrostonyx_richardsoni,18,1.0,1.0,0.12395497836340034
Tamias_amoenus,1972,0.9472299052865885,0.774340770791075,0.5498112655336305
Mustela_frenata,2154,0.9533677276798839,0.7460538532961931,0.48219306751461044
Scapanus_orarius,402,0.9867886933491744,0.9353233830845771,0.48878242840924263
Sorex_trowbridgii,1021,0.9955067001393844,0.9764936336924583,0.6446412596646726
Dipodomys_ordii,4015,0.9692020427754577,0.8450809464508096,0.62590852559473
Poliocitellus_franklinii,470,0.9647351742870077,0.8255319148936171,0.5812517960778587
Sorex_preblei,42,0.9469954648526078,0.8571428571428572,0.31096492628170513
Myotis_yumanensis,1257,0.9505151422519175,0.7653142402545745,0.5475079748768643
Sylvilagus_nuttallii,1411,0.9208921398689349,0.6768249468462084,0.5302090748273306
Lepus_europaeus,99,0.9943373125191307,0.9292929292929295,0.6867090428526752
Ochotona_collaris,266,0.9788003844196957,0.868421052631579,0.5378285768691043
Myodes_rutilus,1565,0.9651755147036307,0.8038338658146964,0.5838016738290466
Ursus_arctos,2955,0.9635026812222823,0.7939086294416244,0.49732299365161303
Odocoileus_virginianus,30189,0.912865397694745,0.6657391765212495,0.45673762633523474
Urocitellus_parryii,1071,0.9528451903637272,0.7703081232492996,0.4940377696218663
Scapanus_townsendii,264,0.9892031106519743,0.9128787878787881,0.5752609539740676
Rangifer_tarandus,3246,0.9616582938800644,0.7781885397412198,0.4128416065848418
